run,iterations,type,latency
0,1900000,Independent Client,0.389300
0,1900000,Independent Client (elevated),0.227760
0,1900000,Client + Server,0.648266
0,1900000,Client + Server (elevated),0.525518
1,1900000,Independent Client,0.373374
1,1900000,Independent Client (elevated),0.228545
1,1900000,Client + Server,0.685594
1,1900000,Client + Server (elevated),0.531102
2,1900000,Independent Client,0.377570
2,1900000,Independent Client (elevated),0.226832
2,1900000,Client + Server,0.646344
2,1900000,Client + Server (elevated),0.522767
3,1900000,Independent Client,0.382657
3,1900000,Independent Client (elevated),0.227581
3,1900000,Client + Server,0.692089
3,1900000,Client + Server (elevated),0.527832
4,1900000,Independent Client,0.385120
4,1900000,Independent Client (elevated),0.231390
4,1900000,Client + Server,0.682149
4,1900000,Client + Server (elevated),0.515556
5,1900000,Independent Client,0.373660
5,1900000,Independent Client (elevated),0.231360
5,1900000,Client + Server,0.682261
5,1900000,Client + Server (elevated),0.482701
6,1900000,Independent Client,0.370513
6,1900000,Independent Client (elevated),0.226768
6,1900000,Client + Server,0.685172
6,1900000,Client + Server (elevated),0.521614
7,1900000,Independent Client,0.375137
7,1900000,Independent Client (elevated),0.228434
7,1900000,Client + Server,0.682558
7,1900000,Client + Server (elevated),0.487011
